Date,ITB,IYZ,XLY,XLP,IYT,PHO,DBA,DBB,VNQ,LQD
26/05/2016,26.852409,27.763376,74.246834,46.851418,131.326965,22.564613,20.748589,12.012041,69.214485,103.216675
27/05/2016,27.008873,27.905573,74.594803,46.904522,132.226532,22.642927,20.855742,12.128099,69.588722,103.138771
31/05/2016,26.979538,28.083315,74.519562,46.603626,132.491653,22.740822,20.758329,12.089414,69.580406,103.320541
01/06/2016,27.087103,27.763376,74.472542,47.081524,132.28334,22.868086,20.904448,12.263502,69.638611,103.393448
02/06/2016,26.999094,28.074427,74.886322,47.099224,132.084488,22.926823,21.167458,12.1958,69.996201,103.60173
03/06/2016,26.901308,27.532314,74.397293,47.40012,131.611023,22.897451,21.498657,12.32153,70.278946,104.434845
06/06/2016,26.911087,27.647846,74.585381,47.453213,132.359116,23.083456,21.751926,12.398902,69.738411,104.183182
07/06/2016,27.351128,28.056656,74.679443,47.40012,133.836273,23.269451,21.86882,12.273172,70.162537,104.339386
08/06/2016,27.634714,28.154411,74.764076,47.683311,134.593826,23.45545,22.365616,12.534304,70.611603,104.686485
09/06/2016,27.507587,27.994442,74.594803,47.869167,134.338135,23.386919,22.219498,12.437589,70.7696,104.83403
10/06/2016,27.008873,27.727831,73.814247,47.904568,132.245468,22.946398,22.200018,12.447261,70.436958,104.955544
13/06/2016,26.500376,27.621185,73.409859,47.506306,130.692535,22.603773,22.092865,12.524632,70.453606,104.799316
14/06/2016,26.265688,27.887794,73.221771,47.692165,128.77034,22.672297,22.112349,12.37956,70.270622,104.565025
15/06/2016,26.422153,27.967783,73.42868,47.55056,129.149063,22.613564,22.073381,12.495618,70.935921,104.955544
16/06/2016,26.422153,28.305496,73.66378,47.798359,128.599884,22.691875,21.966228,12.37956,71.335083,105.111732
17/06/2016,26.656841,28.28772,73.547684,47.605171,129.366867,22.666407,22.180536,12.32153,71.218681,104.799316
20/06/2016,26.911087,28.669865,74.208321,47.756519,130.825104,22.950472,21.927267,12.543977,71.318459,104.669128
21/06/2016,26.801455,28.87426,74.038429,47.881161,130.421265,22.881907,21.60581,12.63102,71.590317,104.573685
22/06/2016,26.693783,28.767155,73.934631,47.907879,129.585144,22.862316,21.459692,12.640691,71.481239,104.764618
23/06/2016,27.075535,29.409796,74.661331,48.201675,130.791855,23.195354,21.52788,12.718062,71.842041,104.660469
24/06/2016,26.21413,28.436911,71.88665,47.275745,124.634689,22.499889,21.070047,12.534304,71.20433,105.155144
27/06/2016,25.489771,27.874598,70.565376,47.177811,120.814995,22.127659,21.216166,12.466604,71.254692,105.59774
28/06/2016,26.057514,28.445835,71.971603,47.471615,123.465996,22.372547,21.430468,12.805106,72.756645,106.179169
29/06/2016,26.605677,29.150959,73.132423,48.023609,126.231033,22.676203,21.615551,12.872808,73.637688,106.144463
30/06/2016,27.065744,29.722189,73.670387,49.100899,127.456741,23.156172,21.498657,12.979195,74.40123,106.517632
01/07/2016,27.281097,29.740044,74.434853,48.869411,128.720474,23.165968,21.410986,13.13394,74.426407,107.075432
05/07/2016,27.065744,29.543674,73.830833,49.145405,127.000641,23.028835,21.274611,12.959851,75.248711,107.44091
06/07/2016,27.584545,29.686489,74.463127,49.18993,126.991112,23.087603,21.031082,12.911494,74.921486,107.632309
07/07/2016,27.750959,29.597231,74.784027,49.091991,127.580246,23.019039,20.631697,12.76642,74.149521,107.64975
08/07/2016,28.524261,30.204172,76.086418,49.581661,130.858383,23.47942,20.875225,12.921165,75.349396,108.250168
